Time frequency,Stock or flow,External trade indicator,Geopolitical entity (partner),"Standard International Trade Classification (SITC Rev. 4, 2006)",Geopolitical entity (reporting),Time,value
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Raw materials,European Union - 27 countries (from 2020),2023-11,11543.9
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Raw materials,European Union - 27 countries (from 2020),2023-12,10235.6
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Raw materials,European Union - 27 countries (from 2020),2024-01,10859.1
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Raw materials,European Union - 27 countries (from 2020),2024-02,11957.4
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Raw materials,European Union - 27 countries (from 2020),2024-03,12279.4
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Raw materials,European Union - 27 countries (from 2020),2024-04,12730.8
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Raw materials,European Union - 27 countries (from 2020),2024-05,12262.0
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Raw materials,European Union - 27 countries (from 2020),2024-06,11574.6
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Raw materials,European Union - 27 countries (from 2020),2024-07,12070.6
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Raw materials,European Union - 27 countries (from 2020),2024-08,10028.0
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Raw materials,European Union - 27 countries (from 2020),2024-09,11400.2
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Raw materials,European Union - 27 countries (from 2020),2024-10,12164.9
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Raw materials,European Union - 27 countries (from 2020),2024-11,11511.5
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Raw materials,European Union - 27 countries (from 2020),2024-12,10452.1
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Raw materials,European Union - 27 countries (from 2020),2025-01,11484.2
