Time frequency,Standard international energy product classification (SIEC),Geopolitical entity (partner),Unit of measure,Geopolitical entity (reporting),Time,value
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Ireland,2005,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Ireland,2006,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Ireland,2007,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Ireland,2008,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Ireland,2009,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Ireland,2010,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Ireland,2011,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Ireland,2012,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Ireland,2013,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Ireland,2014,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Ireland,2015,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Ireland,2016,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Ireland,2017,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Ireland,2018,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Ireland,2019,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Ireland,2020,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Ireland,2021,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Ireland,2022,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Ireland,2023,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Ireland,2024,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Spain,2000,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Spain,2001,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Spain,2002,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Spain,2003,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Spain,2004,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Spain,2005,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Spain,2006,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Spain,2007,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Spain,2008,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Spain,2009,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Spain,2010,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Spain,2011,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Spain,2012,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Spain,2013,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Spain,2014,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Spain,2015,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Spain,2016,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Spain,2017,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Spain,2018,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Spain,2019,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Spain,2020,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Spain,2021,3031.67
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Spain,2022,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Spain,2023,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Spain,2024,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),France,2000,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),France,2001,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),France,2002,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),France,2003,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),France,2004,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),France,2005,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),France,2006,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),France,2007,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),France,2008,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),France,2009,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),France,2010,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),France,2011,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),France,2012,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),France,2013,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),France,2014,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),France,2015,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),France,2016,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),France,2017,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),France,2018,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),France,2019,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),France,2020,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),France,2021,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),France,2022,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),France,2023,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),France,2024,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Croatia,2000,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Croatia,2001,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Croatia,2002,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Croatia,2003,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Croatia,2004,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Croatia,2005,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Croatia,2006,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Croatia,2007,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Croatia,2008,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Croatia,2009,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Croatia,2010,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Croatia,2011,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Croatia,2012,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Croatia,2013,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Croatia,2014,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Croatia,2015,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Croatia,2016,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Croatia,2017,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Croatia,2018,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Croatia,2019,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Croatia,2020,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Croatia,2021,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Croatia,2022,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Croatia,2023,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Croatia,2024,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Italy,2000,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Italy,2001,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Italy,2002,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Italy,2003,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Italy,2004,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Italy,2005,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Italy,2006,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Italy,2007,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Italy,2008,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Italy,2009,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Italy,2010,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Italy,2011,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Italy,2012,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Italy,2013,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Italy,2014,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Italy,2015,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Italy,2016,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Italy,2017,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Italy,2018,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Italy,2019,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Italy,2020,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Italy,2021,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Italy,2022,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Italy,2023,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Italy,2024,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Cyprus,2000,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Cyprus,2001,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Cyprus,2002,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Cyprus,2003,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Cyprus,2004,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Cyprus,2005,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Cyprus,2006,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Cyprus,2007,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Cyprus,2008,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Cyprus,2009,0.0
