Time frequency,Unit of measure,Stock or flow,Products and final uses,"Products, adjustments and value added",Geopolitical entity (reporting),Time,value,country
Annual,Million euro,Total,Gross capital formation,Repair and installation services of machinery and equipment,Italy,2021,15186.32,IT
Annual,Million euro,Total,Publishing services,Total intermediate consumption /final use,France,2021,15186.08,FR
Annual,Million euro,Total,Exports of goods and services,Machinery and equipment n.e.c.,Poland,2020,15185.75,PL
Annual,Million euro,Total,Exports of goods and services to euro area countries,"Fabricated metal products, except machinery and equipment",Germany,2020,15185.0,DE
Annual,Million euro,Total,Gross fixed capital formation,Scientific research and development services,Sweden,2023,15178.68,SE
Annual,Million euro,Total,Gross fixed capital formation,"Computer, electronic and optical products",Italy,2021,15175.56,IT
Annual,Million euro,Total,Sporting services and amusement and recreation services,"Value added, gross",Germany,2020,15173.0,DE
Annual,Million euro,Total,Basic metals,Imports of goods and services,Czechia,2022,15172.8,CZ
Annual,Million euro,Total,Employment services,"Value added, gross",Italy,2022,15169.15,IT
Annual,Million euro,Total,Total final use,Other personal services,Spain,2022,15168.9,ES
Annual,Million euro,Total,Total use,Paper and paper products,Sweden,2021,15167.69,SE
Annual,Million euro,Total,Paper and paper products,Total supply at basic prices,Sweden,2021,15166.81,SE
Annual,Million euro,Total,Final consumption expediture,Imputed rents of owner-occupied dwellings,Hungary,2023,15166.01,HU
Annual,Million euro,Total,Imputed rents of owner-occupied dwellings,Output,Hungary,2023,15166.01,HU
